,query,correct,cot,answer,context
0,"Which magazine was started first, Arthur's Magazine or First for Women?",arthurs magazine," Let's analyze the information provided in the context. Arthur's Magazine was published in the 19th century, specifically from 1844 to 1846. On the other hand, First for Women was started in 1989. Since 1844 is much earlier than 1989, Arthur's Magazine was started first. Therefore, the correct option is 'Arthur's Magazine'. ### Arthur's Magazine <|end|>",arthurs magazine,"Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century. Edited by T.S. Arthur, it featured work by Edgar A. Poe, J.H. Ingraham, Sarah Josepha Hale, Thomas G. Spear, and others. In May 1846 it was merged into ""Godey's Lady's Book"". First for Women is a woman's magazine published by Bauer Media Group in the USA. The magazine was started in 1989. It is based in Englewood Cliffs, New Jersey. In 2011 the circulation of the magazine was 1,310,696 copies."
1,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",jonathan stark," Let's analyze the context to determine which player won more Grand Slam titles. Henri Leconte won the French Open men's doubles title in 1984 and helped France win the Davis Cup in 1991. However, the Davis Cup is not considered a Grand Slam event. Jonathan Stark won two Grand Slam doubles titles: the 1994 French Open Men's Doubles and the 1995 Wimbledon Championships Mixed Doubles.

Based on the information provided, Jonathan Stark won more Grand Slam titles than Henri Leconte. Therefore, the correct option is 'Jonathan Stark'. <|end|>",jonathan stark,"Henri Leconte (born 4 July 1963) is a former French professional tennis player. He reached the men's singles final at the French Open in 1988, won the French Open men's doubles title in 1984, and helped France win the Davis Cup in 1991. Leconte's career-high singles ranking was world No. 5. Jonathan Stark (born April 3, 1971) is a former professional tennis player from the United States. During his career he won two Grand Slam doubles titles (the 1994 French Open Men's Doubles and the 1995 Wimbledon Championships Mixed Doubles). Stark reached the World No. 1 doubles ranking in 1994."
2,"Which band was founded first, Hole (the rock band that Courtney Love was a frontwoman of) or The Wolfhounds?",the wolfhounds," Let's analyze the information given in the context. The Wolfhounds were formed in 1985, while Hole, the band Courtney Love was a frontwoman of, was formed in 1989. Therefore, The Wolfhounds were founded first. The correct option is 'The Wolfhounds'. <|end|>",the wolfhounds,"The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990. The band reformed in 2005 and continues to write, record and play live, releasing new albums in 2014 and 2016. Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. Prolific in the punk and grunge scenes of the 1990s, Love has enjoyed a career that spans four decades. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989. Love has drawn public attention for her uninhibited live performances and confrontational lyrics, as well as her highly publicized personal life following her marriage to Kurt Cobain."
3,Were Pavel Urysohn and Leonid Levin known for the same type of work?,no," Assistant: Let's analyze the context provided. Leonid Levin is a computer scientist, while Pavel Urysohn was a mathematician known for his contributions in dimension theory and topology. The context does not mention any direct connection between their works. Therefore, based on the information given, the correct option is 'no'. <|end|>",no,"Leonid Anatolievich Levin ( ; Russian: Леони́д Анато́льевич Ле́вин ; Ukrainian: Леоні́д Анато́лійович Ле́він ; born November 2, 1948) is a Soviet-American computer scientist. Pavel Samuilovich Urysohn (Па́вел Самуи́лович Урысо́н ) (February 3, 1898 – August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology. His name is also commemorated in the terms Urysohn universal space, Fréchet–Urysohn space, Menger–Urysohn dimension and Urysohn integral equation. He and Pavel Alexandrov formulated the modern definition of compactness in 1923."
4,Are both The New Pornographers and Kings of Leon American rock bands?,yes," Let's analyze the options and the context provided. The context states that Kings of Leon is an American rock band, which confirms that they are indeed American. However, The New Pornographers is described as a Canadian indie rock band. Therefore, the statement that both bands are American is not correct. The correct option is 'no'. ### no <|end|>",no,"Kings of Leon is an American rock band that formed in Nashville, Tennessee, in 1999. The band is composed of brothers Caleb Followill (b. January 14, 1982, lead vocals, rhythm guitar), Nathan Followill (b. June 26, 1979, drums, percussion, backing vocals) and Jared Followill (b. November 20, 1986, bass guitar, backing vocals), with their cousin Matthew Followill (b. September 10, 1984, lead guitar, backing vocals). The New Pornographers is a Canadian indie rock band formed in 1997 in Vancouver, British Columbia. Presented as a musical collective of singer-songwriters and musicians from multiple projects, the band has released seven studio albums to critical acclaim for their use of multiple vocalists and elements of power pop incorporated into their music."
5,"750 7th Avenue and 101 Park Avenue, are located in which city?",new york city," Assistant: Both 750 7th Avenue and 101 Park Avenue are mentioned in the context as being located in New York City. Therefore, the correct option is 'New York City'. ### New York City <|end|>",new york city,"101 Park Avenue is a 629 ft tall skyscraper in New York City, New York. It was completed in 1979 to 1982 and has 49 floors. Eli Attia Architects designed the building, which is the 64th tallest in New York. 750 Seventh Avenue is a 615 ft (187m) tall Class-A office skyscraper in New York City. It was completed in 1989 in the postmodern style and has 36 floors. Kevin Roche John Dinkeloo & Associates designed the building, and it is owned by Hines, a Texas based real estate investment company. The building's continuous helix design, culminating in a chimney-like extension, was caused by the New York City Building Code, which requires setbacks. The 84 exterior column transfers exist because of the owner's requirement for a column-free space. It is tied with the New York Life Building for the 74th tallest building in New York City. It is also LEED certified."
6,"Who was born first, Pablo Trapero or Aleksander Ford?",aleksander ford," To determine who was born first, we need to compare the birth years of Pablo Trapero and Aleksander Ford. According to the context, Pablo Trapero was born on 4 October 1971, while Aleksander Ford was born on 24 November 1908. Since 1908 is earlier than 1971, Aleksander Ford was born first. Therefore, the correct option is 'Aleksander Ford'. ### Aleksander Ford <|end|>",aleksander ford,"Pablo Trapero (Born 4 October 1971) is an Argentine film producer, editor and director. Aleksander Ford (born Mosze Lifszyc; 24 November 1908 in Kiev, Russian Empire – 4 April 1980 in Naples, Florida, United States) was a Polish Jewish film director; and head of the Polish People's Army Film Crew in the Soviet Union during World War II. Ford became director of the nationalized Film Polski company following the Red Army occupation of Poland."
7,Are Jane and First for Women both women's magazines?,yes," Let's analyze the context provided for both options. The context states that 'First for Women' is a women's magazine published by Bauer Media Group in the USA. It also mentions that 'Jane' was an American magazine created to appeal to a specific audience of women. Both descriptions indicate that these publications are targeted towards women. Therefore, the correct option is 'yes'. <|end|>",yes,"First for Women is a woman's magazine published by Bauer Media Group in the USA. The magazine was started in 1989. It is based in Englewood Cliffs, New Jersey. In 2011 the circulation of the magazine was 1,310,696 copies. Jane was an American magazine created to appeal to the women who grew up reading ""Sassy Magazine""; Jane Pratt was the founding editor of each. Its original target audience (pitched to advertisers) was aged 18–34, and was designed to appeal to women who did not like the typical women's magazine format. Pratt originally intended the magazine to be named ""Betty"", but she was voted down by everyone else involved in the making of the magazine."
8,What profession does Nicholas Ray and Elia Kazan have in common?,director," Assistant: Let's analyze the options and the context provided. The context mentions Nicholas Ray as an 'American film director' and Elia Kazan as a 'Greek-American director, producer, writer and actor'. Both of them are mentioned as directors, which is a common profession between them. The option 'actor' is mentioned for Elia Kazan, but not for Nicholas Ray. Therefore, the correct option is 'director'. ### director <|end|>",director,"Nicholas Ray (born Raymond Nicholas Kienzle Jr., August 7, 1911 – June 16, 1979) was an American film director best known for the movie ""Rebel Without a Cause."" Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history""."
9,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",the saimaa gesture," Assistant: Let's analyze the options based on the context provided. The context states that 'Adam Clayton Powell' is a documentary about a civil rights leader, while 'The Saimaa Gesture' is a documentary about Finnish rock groups on a tour around Lake Saimaa. Since the question asks for the documentary about Finnish rock groups, the correct option is 'The Saimaa Gesture'. ### The Saimaa Gesture <|end|>",the saimaa gesture,"Adam Clayton Powell is a 1989 American documentary film directed by Richard Kilberg about the civil rights leader. It was nominated for an Academy Award for Best Documentary Feature. The Saimaa Gesture (Finnish: ""Saimaa-ilmiö"" ) is a 1981 film by Finnish directors Aki and Mika Kaurismäki. It is a documentary of three Finnish rock groups aboard the steamboat SS Heinävesi on their tour around Lake Saimaa."
10,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",david lee roth," Assistant: Let's analyze the options based on the context provided. The context states that 'David Lee Roth was inducted into the Rock and Roll Hall of Fame in 2007'. On the other hand, there is no mention of Cia Berg being inducted into the Rock and Roll Hall of Fame. Therefore, the correct option is 'David Lee Roth'. ### David Lee Roth <|end|>",cia berg,"Cia Berg (born 2 December 1963), now known as Cia Soro, is a Swedish television presenter and singer. She was at one time the lead singer of the Swedish rock band Whale, who released the single ""Hobo Humpin' Slobo Babe"". David Lee Roth (born October 10, 1954) is an American rock vocalist, musician, songwriter, actor, author, and former radio personality. In 2007, he was inducted into the Rock and Roll Hall of Fame."
11,Are Gin and tonic and Paloma both cocktails based on tequila?,no," Let's analyze the options and the context provided. The context states that a paloma is a tequila-based cocktail, which means it is made with tequila. On the other hand, a gin and tonic is a cocktail made with gin and tonic water, not tequila. Therefore, the correct answer is 'no', as not both cocktails are based on tequila. ### no <|end|>",no,"The paloma (Spanish for ""dove"") is a tequila-based cocktail. This drink is most commonly prepared by mixing tequila with a grapefruit-flavored soda such as Fresca, Squirt, or Jarritos and served on the rocks with a lime wedge. This drink also has the option of adding salt to the rim of the glass. A gin and tonic is a highball cocktail made with gin and tonic water poured over ice. It is usually garnished with a slice or wedge of lime. The amount of gin varies according to taste. Suggested ratios of gin to tonic are between 1:1 and 1:3."
12,Who is older Glenn Hughes or Ross Lynch?,glenn hughes," Let's analyze the information provided in the context. Ross Lynch was born on December 29, 1995, while Glenn Hughes was born on August 21, 1951. Comparing their birth years, we can see that Glenn Hughes was born much earlier than Ross Lynch. Therefore, the correct option is 'Glenn Hughes'. <|end|>",glenn hughes,"Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor. He is one of the founding members of the pop rock band R5. As an actor, he is known for his debut role as Austin Moon on the Disney Channel original series ""Austin & Ally"", and for his role as Brady in the ""Teen Beach Movie"" series. Lynch is also starring in a new horror/thriller movie called ""My Friend Dahmer,"" where he plays the role of Jeffrey Dahmer in his teenage years. The movie is set to debut in the fall of 2017. Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk. III and IV line-ups of Deep Purple, as well as briefly fronting Black Sabbath in the mid-1980s."
13,"Which band has more members, Saint Motel or Curve?",saint motel," Let's analyze the information provided in the context. Saint Motel is described as a band with four members: A/J Jackson, Aaron Sharp, Dak Lerdamornpong, and Greg Erwin. On the other hand, Curve is described as a duo, consisting of Toni Halliday and Dean Garcia. Therefore, Saint Motel has more members than Curve. The correct option is 'Saint Motel'. ### Saint Motel <|end|>",saint motel,"Saint Motel is an American indie pop band from Los Angeles, whose music has been described as everything from ""dream pop"" to ""indie prog"". The band consists of A/J Jackson (lead vocals, guitar, piano), Aaron Sharp (lead guitar), Dak Lerdamornpong (bass), and Greg Erwin (drums). Curve were an English alternative rock and electronica duo from London, formed in 1990 and split in 2005. The band consisted of Toni Halliday (vocals, occasionally guitar) and Dean Garcia (bass, guitar, drums, programming). Halliday wrote also the lyrics of their songs and they both contributed to songwriting. An important collaborator was the producer Alan Moulder, who helped them to shape their blend of heavy beats and densely layered guitar tracks set against Halliday's vocals."
14,"Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University? ",boston college," Assistant: Let's analyze the context provided for each university. The context states that Boston College is a private Jesuit Catholic research university located in Chestnut Hill, Massachusetts. On the other hand, Stanford University is described as a private research university in Stanford, California. Therefore, the correct option is 'Boston College'. ### Boston College <|end|>",boston college,"Boston College (also referred to as BC) is a private Jesuit Catholic research university located in the affluent village of Chestnut Hill, Massachusetts, United States, 6 mi west of downtown Boston. It has 9,100 full-time undergraduates and almost 5,000 graduate students. The university's name reflects its early history as a liberal arts college and preparatory school (now Boston College High School) in Dorchester. It is a member of the 568 Group and the Association of Jesuit Colleges and Universities. Its main campus is a historic district and features some of the earliest examples of collegiate gothic architecture in North America. Stanford University (Stanford; officially Leland Stanford Junior University, colloquially the Farm) is a private research university in Stanford, California, adjacent to Palo Alto and between San Jose and San Francisco. Stanford's undergraduate program is the most selective in America. Due to its academic strength, wealth, and proximity to Silicon Valley it is often cited as one of the world's most prestigious universities."
15,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes," Assistant: Let's analyze the context provided for both Tim McIlrath and Spike Slawson. The context states that Tim McIlrath is an American punk rock musician and a member of the band Rise Against. It also mentions that Spike Slawson is an American punk rock musician and a member of several bands, including Me First and the Gimme Gimmes and Swingin' Utters. Since both individuals are described as American punk rock musicians, the correct option is 'yes'. ### yes <|end|>",yes,"Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician. He is the lead singer, rhythm guitarist, songwriter and co-founder of the American punk rock band Rise Against. McIlrath is known to support animal rights and actively promotes PETA with his band. He is also straight edge. Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt."
16,What profession does Am Rong and Alexandre Rockwell have in common?,filmmaker," Let's analyze the context provided for both Am Rong and Alexandre Rockwell. Am Rong is described as a 'Cambodian soldier and filmmaker', while Alexandre Rockwell is the'son of an actor and filmmaker'. The common profession between them is 'filmmaker'. Therefore, the correct option is 'filmmaker'. ### filmmaker <|end|>",filmmaker,"Am Rong (1929 – May 1975) was a Cambodian soldier and filmmaker, who acted as a spokesman on military matters for the Khmer Republic during the Cambodian Civil War. Western journalists commented on the irony of his name as he gave briefings which ""painted a rosy picture of the increasingly desperate situation on the ground"" during the war. Rockwell is the grandson of the Russian animator Alexandre Alexeieff, who invented the pinscreen, and of Alexandra Grinevsky, Countess de Lowendhal. His grandmother was a stage actress in Paris, as well as an artist. His father was also an actor and filmmaker. His mother, Svetlana Rockwell, was born in Paris and emigrated to the US to marry Alex's father; she was a painter. Rockwell grew up in Cambridge, MA and moved to New York City in his early 20s."
17,El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,golf magazine," Let's analyze the context provided for each publication. The context states that ""Golf Magazine is a monthly golf magazine owned by 'Time Inc.'"" This directly answers the question, indicating that 'Golf Magazine' is the publication owned by Time Inc. On the other hand, the context does not mention any ownership information for 'El Nuevo Cojo', so we cannot conclude that it is owned by Time Inc. Therefore, the correct option is 'Golf Magazine'. ### Golf Magazine <|end|>",golf magazine,"Golf Magazine is a monthly golf magazine owned by ""Time Inc."" It was started in April, 1959 by Universal Publishing and Distributing, who sold it to Times Mirror in 1972. Time Inc. acquired it in 2000. It was the world's most widely read golf publication from August 2006 to January 2007. The magazine is for golfers of all skill levels. Some features it includes are instruction from the top 100 teachers in America, interviews with famous golfers, tips on the best values for golf courses to go to on vacation, and an annual club test. El Nuevo Cojo Ilustrado is an American online Spanish language magazine published from Los Angeles, California. It was founded in 2003 as a free alternative webzine published monthly from Harlem, New York. Originally it was an arts and opinion magazine focused exclusively on Venezuelan culture for Venezuelans living in the United States. It also sought to be a window to the US press for Spanish-speaking immigrants by translating English articles from mainstream newspapers. The website slowly embraced a wider audience by covering general interest issues."
18,What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,"washington, d.c."," Assistant: Let's analyze the options given. The context states that 'The George Washington University Hospital is located in Washington, D.C.' and 'MedStar Washington Hospital Center is the largest private hospital in Washington, D.C.' Therefore, both hospitals are located in Washington, D.C. Hence, the correct option is 'Washington, D.C.'. ### Washington, D.C. <|end|>","washington, d.c.","The George Washington University Hospital is located in Washington, D.C. in the United States. It is affiliated with the George Washington University School of Medicine and Health Sciences. The current facility opened on August 23, 2002, with 371 beds in a 400,000 sq. ft. building, housing more than $45 million of medical equipment and costing over $96 million to construct. The hospital is licensed by the District of Columbia Department of Consumer and Regulatory Affairs and accredited by the U.S. Joint Commission. MedStar Washington Hospital Center is the largest private hospital in Washington, D.C. A member of MedStar Health, the not-for-profit Hospital Center is licensed for 926 beds. Health services in primary, secondary and tertiary care are offered to adult and neonatal patients. It also serves as a teaching hospital for Georgetown University School of Medicine."
19,Are Pam Veasey and Jon Jost both American?,yes," Assistant: Let's analyze the context provided for each individual. Pamela Renea Veasey is described as an 'American television writer, producer and director', which confirms that she is American. Jon Jost is also described as an 'American independent filmmaker', which confirms that he is American as well. Therefore, the correct option is 'yes'. Both Pam Veasey and Jon Jost are American. ### yes <|end|>",yes,"Pamela Renea Veasey (born May 25, 1962) is an American television writer, producer and director. Jon Jost (born 16 May 1943 in Chicago) is an American independent filmmaker."
20,Are the New Orleans Outfall Canals the same length as the Augusta Canal?,yes," Let's analyze the information provided in the context. The Augusta Canal in Georgia is approximately 13 miles long. The New Orleans Outfall Canals, on the other hand, have 13 miles of levees and floodwalls lining their sides. However, the length of the canals themselves is not specified. Therefore, based on the given context, we cannot definitively say whether the New Orleans Outfall Canals are the same length as the Augusta Canal. The correct answer is 'no', as we do not have enough information to confirm that they are the same length. ### no <|end|>",no,"The Augusta Canal is a historic canal located in Augusta, Georgia, United States. The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations. It was devised to harness the water power at the fall line of the Savannah River to drive mills, to provide transportation of goods, and to provide a municipal water supply. It is the only canal in the US in continuous use for its original purposes of providing power, transport and municipal water. There are three outfall canals in New Orleans, Louisiana – the 17th Street, Orleans Avenue and London Avenue canals. These canals are a critical element of New Orleans’ flood control system, serving as drainage conduits for much of the city. There are 13 mi of levees and floodwalls that line the sides of the canals. The 17th Street Canal is the largest and most important drainage canal and is capable of conveying more water than the Orleans Avenue and London Avenue Canals combined."
21,"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",medstar washington hospital center," Let's analyze the context provided. The context states that ""MedStar Washington Hospital Center is the largest private hospital in Washington, D.C."" Therefore, the correct option is 'MedStar Washington Hospital Center'. <|end|>",medstar washington hospital center,"Children’s National Medical Center (formerly DC Children’s Hospital) is ranked among the top 10 children’s hospitals in the country by ""U.S. News & World Report."" Located just north of the McMillan Reservoir and Howard University, it shares grounds with Washington Hospital Center, National Rehabilitation Hospital, and the DC Veterans Affairs Medical Center. Kurt Newman, M.D., has served as the president and chief executive officer of Children’s National since 2011. Children's National is a not-for-profit institution that performs more than 450,000 visits each year. Featuring 303 beds and a Level IV NICU, Children's National is the regional referral center for pediatric emergency, trauma, cancer, cardiac and critical care as well as neonatology, orthopaedic surgery, neurology and neurosurgery. MedStar Washington Hospital Center is the largest private hospital in Washington, D.C. A member of MedStar Health, the not-for-profit Hospital Center is licensed for 926 beds. Health services in primary, secondary and tertiary care are offered to adult and neonatal patients. It also serves as a teaching hospital for Georgetown University School of Medicine."
22,Are Wenling and Xinzheng both in China?,yes," Assistant: Let's analyze the context provided for both Wenling and Xinzheng. Wenling is described as a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. This clearly indicates that Wenling is in China.

Xinzheng, on the other hand, is described as a small county-level city of Zhengzhou in the south of Henan province of Central China. This also clearly indicates that Xinzheng is in China.

Therefore, both Wenling and Xinzheng are in China. The correct option is 'yes'. ### yes <|end|>",yes,"Wenling (Wenling dialect: Uen-lin Zy ] ; ) is a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. It borders Luqiao and Huangyan to the north, Yuhuan to the south, Yueqing to the west, looks out to the East China Sea to the east. Wenling locates on 28°22'N, 121°21'E, approximately 300 km south of Shanghai. Xinzheng () is a small county-level city of Zhengzhou in the south of Henan province of Central China. The city has a population of 600,000 people and covers an area of 15 km2 ."
23,"Gülhane Park and Zografeion Lyceum, are located in which country?",turkey," Assistant: Let's analyze the context provided. Gülhane Park is described as a historical urban park in the Eminönü district of Istanbul, Turkey. Additionally, Zografeion Lyceum is mentioned as one of the remaining open Greek schools in Istanbul, which is in the Beyoğlu district. Both these locations are in Istanbul, which is a city in Turkey. Therefore, the correct option is 'Turkey'. ### Turkey <|end|>",turkey,"Gülhane Park (Turkish: ""Gülhane Parkı"" , ""Rosehouse Park""; from Persian: ""Gulkhāna"", ""house of flowers"") is a historical urban park in the Eminönü district of Istanbul, Turkey; it is located adjacent to and on the grounds of the Topkapı Palace. The south entrance of the park sports one of the larger gates of the palace. It is the oldest and one of the most expansive public parks in Istanbul. Zografeion Lyceum (Turkish: ""Özel Zoğrafyon Rum Lisesi"" , Greek: Ζωγράφειον Λύκειον ) is one of the remaining open Greek schools in Istanbul. The school is in the Istanbul city centre in the Beyoğlu district and very close to the Taksim Square, which is considered the heart of the city."
